0,2.28
0,2.2
1,2.64
2,2.58
3,2.47
4,2.47
5,2.41
6,2.7
7,2.09
8,2.32
9,2.65
10,2.56
11,2.52
12,2.33
13,2.16
14,2.42
15,1.95
0,2.28
1,2.64
2,2.57
3,2.48
4,2.47
5,2.41
6,2.89
7,2.09
8,2.32
9,2.65
10,2.56
11,2.52
12,2.33
13,2.17
14,2.42
15,1.96
0,2.28
1,2.63
2,2.58
3,2.49
4,2.47
5,2.4
6,2.89
7,2.19
8,2.32
9,2.6
10,2.55
11,2.53
12,2.33
13,2.2
14,2.42
15,2.09
0,2.27
1,2.53
2,2.57
3,2.54
4,2.47
5,2.41
6,2.89
7,2.09
8,2.32
9,2.65
10,2.55
11,2.52
12,2.33
13,2.17
14,2.41
15,1.95
0,2.2575002
0,2.2575002
0,2.2575002
0,2.2575002
0,2.28
1,2.64
2,2.57
3,2.47
4,2.48
5,2.41
6,2.89
7,2.09
8,2.32
9,2.65
10,2.56
11,2.51
12,2.33
13,2.17
14,2.4
15,1.95
0,2.26
1,2.64
2,2.58
3,2.47
4,2.48
5,2.41
6,2.8
7,2.09
8,2.27
9,2.65
10,2.58
11,2.51
12,2.4
13,2.16
14,2.33
15,1.95
0,2.28
1,2.64
2,2.58
3,2.47
4,2.48
5,2.4
6,2.89
7,2.09
8,2.32
9,2.65
10,2.56
11,2.51
12,2.33
13,2.16
14,2.41
15,1.95
0,2.28
1,2.64
2,2.58
3,2.48
4,2.47
5,2.42
6,2.89
7,2.12
8,2.32
9,2.64
10,2.55
11,2.52
12,2.33
13,2.2
14,2.42
15,2.01
0,2.2749999
0,2.2749999
0,2.2749999
0,2.2749999
0,2.28
1,2.58
2,2.57
3,2.51
4,2.48
5,2.44
6,2.89
7,2.34
8,2.32
9,2.55
10,2.55
11,2.55
12,2.33
13,2.17
14,2.41
15,1.95
0,2.28
1,2.64
2,2.58
3,2.47
4,2.48
5,2.41
6,2.89
7,2.09
8,2.32
9,2.65
10,2.56
11,2.51
12,2.33
13,2.17
14,2.41
15,1.95
0,2.27
1,2.64
2,2.57
3,2.47
4,2.48
5,2.41
6,2.86
7,2.09
8,2.3
9,2.65
10,2.56
11,2.52
12,2.36
13,2.16
14,2.37
15,1.95
0,2.22
1,2.64
2,2.61
3,2.47
4,2.49
5,2.41
6,2.71
7,2.09
8,2.32
9,2.65
10,2.55
11,2.52
12,2.33
13,2.16
14,2.41
15,1.95
0,2.2625
0,2.2625
0,2.2625
0,2.2625
0,2.28
1,2.64
2,2.58
3,2.47
4,2.47
5,2.41
6,2.89
7,2.1
8,2.32
9,2.65
10,2.56
11,2.52
12,2.33
13,2.17
14,2.42
15,1.97
0,2.27
1,2.64
2,2.58
3,2.49
4,2.48
5,2.41
6,2.89
7,2.2
8,2.32
9,2.61
10,2.56
11,2.54
12,2.33
13,2.21
14,2.41
15,2.11
0,2.28
1,2.53
2,2.57
